index,atoms,bonds_before,bonds_after,bonds_removed,pct_bonds_removed,is_valid,smiles
40,42,49,42,7,14.3%,True,CCCCCCC(CCCCCCCN)N(C(=O)C(C)N)c1ccccc1
41,59,63,57,6,9.5%,True,C=C(C)CNCCCCCCCCCCCCCCCCCCCCC(C)CCCCCCNCNCCCCCCCC(CCCCCS)C(C)=O
42,122,154,128,26,16.9%,True,CCCCCCCCCC1C(NCCC)CC(C)C2CCC3CCC4=NCC5CCCCCCCCCCCCC(CCCC2C(C)C2CCCCCCCCCCCCC2)C(CC(C)CCC(NC5=O)C(CCC(CC)NC(CCCCCC)CCCCCCC)C(CCC)CC(CC)CCO4)N(CCCc2ccccc2)CCCC(CC)CCC31
43,42,52,46,6,11.5%,True,CCCCCC1CC(O)CCCC(CC)C2CC1CC2N1CC2CCCCC(O)CC1CNC1CCCCC2CCC1
44,45,54,45,9,16.7%,True,C=CCC(CNCCCC)CC1=CC=CC=C(CCCCCCCCCCCCNCCN)S1
45,59,71,63,8,11.3%,True,CCCCC1C2CC3CCNC(NCCCCCCCN2)C(CCCC2CCCNCCCCCC(C)CCCC(CCCCCCCCCC4CCN41)O2)NC3CN
46,42,52,43,9,17.3%,True,C1CCC2CCCCC3CC(CC1)[SeH]23
47,29,31,26,5,16.1%,True,CCCCCCCCC1=CC=C(CCCCC)B1
48,243,129,120,9,7.0%,True,CCCCCCCCC(CC(C)C(CC(C)CC)CC(CC)C(C)N)C(C)C
49,79,94,85,9,9.6%,True,CCCC(C)C1CC2CC(CCCCCCCCCCCCCCCN)CCCCCCCCCC3CCCCCCCC(C)(C)C34C3CNC5CC(CC(CC(C)CC)NCC(CCC5C)C5(CCCC3CC1C#N)CC54)O2
50,79,102,88,14,13.7%,False,
51,49,58,48,10,17.2%,True,CCCCCCCCCCC1NCCCCCC(C)CC23CNC2CC13
52,37,39,35,4,10.3%,True,CC(O)C(I)CC(CCCC(CCCCCCCCCI)C(=O)N(CCF)CCCC#N)NCCF
53,70,91,80,11,12.1%,True,CCCCC(N)Cc1cc2cccc3c4c5c6cnc7ccc(c8cc(cccccco1)C(CCC=CC=c(o6)c1c(=O)oc6cc9c%10ccccccc7n%10c(ccc1n94)=CC=CC=C6)n85)n23
54,67,81,74,7,8.6%,False,
55,49,63,52,11,17.5%,False,
56,45,50,45,5,10.0%,True,C=C1C(CCCCCCCCCCCC(C=O)CCCCC)CCCCCC1CCCCC(CCC#N)CCCC=O
57,76,93,80,13,14.0%,False,
58,80,98,82,16,16.3%,True,CCC1CCCCCCCCCC2CC3CCCCCCCCCCCCCCCCC(C#N)C(C3)NC(CC)CNCNCCNC(CCCN)NCCCCCCCCCCCCC(C)CC(NCCC(C#N)CC1)C(N)C2
59,70,89,71,18,20.2%,True,CCCSC1CCCCCCC2CCCCC(CCN)SC3CCCCNC(CCCCCCCCCCCCCC(CCC)CCCNCCC2CCCC1)CCCCCCCNCCNC3
60,50,59,51,8,13.6%,True,CCCCCCC1=CC=CC=CC=CC2=CC=CC=CC=C3N=CC=CC=CC=CC=CC=CC=CC=CC(NCC)(N1)C2B3CC
61,66,79,75,4,5.1%,True,CCCCCC1C2C3CCCCCC4CC5CCCCCC(CCC6CCCCC7OC8=C(I)C9C%10CC(CCC(CC6)C9CC%10C=O)CCC(C87)C6CC2C61C)SC(C4)CC(C5)C3=O
62,37,45,35,10,22.2%,True,N#CCCCCC(CCCOC1=CC=C1)CNCN
63,82,103,85,18,17.5%,False,
64,82,107,83,24,22.4%,True,CCCCCCCCCNC1CCCCCC(CCCCCCCCCCCC#N)CCNCCCCC(C=O)OC2CCNC(CCCCCCCC)CCC(CC(C)CNCCCC(C#N)CCCCC(S)CCCC)C=C1CC2
65,42,50,45,5,10.0%,True,N#CC(CCCC1CCCCC1)CCCC1CCC(N)CCC2NCC(BNCCCCC3CCCC3)NC12CCO
66,50,63,52,11,17.5%,True,CCCCCCCCC(CCC)CCC1CCCC2CCCC(CCC)C3CCCC3C1(N)C(CCCCCCCC)CC(CCCCC)N2
67,63,74,66,8,10.8%,False,
68,62,78,65,13,16.7%,True,CCCCC1CCCCCC(N)C(CC(CCC)S(=O)(=O)C2CCC3OC4CC(CCC)B(C(C)C(C4)C2)C3CCC)N1C1CCCCCC1
69,107,130,117,13,10.0%,True,CCCC1C(=O)CC(C)CCCN2CC=C3CCCN4C5CCCNCC6CCCCC2CCCCCCCCCCCCCCCCCC2CCCC1(CC17CCCCNC8C9CCC1CCC(CCC87)C1CCN(C(CC2)CC(CCCC#N)C4CCC5)C9CC31C)C6C#N
70,40,48,44,4,8.3%,True,CCCc1ccccccccc2ccc3n4ccc5cccccc(c(cc2)sc(CN)cc4=3)n15
71,79,94,85,9,9.6%,True,CC1CCCCC2CC3CCCC4CCCC(C)C5CCCCCCCC6CCC(CC7C8CCCCCCCCCCC8OC(CCCCCCCC8(C)CN2C5CCC78)CC1)B4C6O3
72,49,59,49,10,16.9%,True,BC(CCCCCCC)CCCCc1ccccccc(C#N)c(O)cccccccc2cnc(CCCCCNCCN)n12
73,107,132,111,21,15.9%,True,CCCC=C1CC2CCCCCCCCCCCCC(CCCC)CCCC(NCCCCC)C(CC(C)CN2)C1CCCCCCCCCNCCCCCC(CCF)CCCCCCCCCCCCCCCCNC1NCCCCNC2CC3C(CC)C4(CC4C2)C3C1CCC
74,75,88,79,9,10.2%,False,
75,66,85,68,17,20.0%,True,CCCCCCCCCCC1CCCCCCCCNC(N)CC(CCCCCCCC)C(=O)C2CCCC(CCCCCC)C3CCCCCC(CC2CC)CC3C(CCC)N1C(C)N
76,43,53,44,9,17.0%,True,CCCC1CCCCCCCCCCCCOC(CCCCC(C#N)CCCCB(C)CCI)CC2CCCCC1C[Se]2
77,56,67,64,3,4.5%,False,
78,122,151,129,22,14.6%,True,CCCCCCCC(CC)CC1C2CCCCCC3C(C)CCCC(C4CC5CCCCCCC6CCCCCCCC(CC7NC8CCCCCCCCC(C)(CCC)CCC9C(C(C)CC)COC4C4CCCCC(CCC)CC(CCC(CCC)N%10C8CC7%10)C(C)CCC(CCC5)N94)N61)C(CC)N32
79,56,69,66,3,4.3%,False,
80,33,39,32,7,17.9%,True,CCNCNCCC1=NC2=CC=CC=C(CC)N2C1
81,37,48,42,6,12.5%,True,CC1NC1B(CCCCCC1=CC=C2C=C(C=CC=CC2=O)C1)C1CC2CCCCCC3CC1C(=N2)O3
82,67,83,71,12,14.5%,True,CCCCCCC(CC)C1NC2CCCCCC3C4CCCCN3C(CCC)CCCCCCC3CCCNC1CCCCCCC(C(C)CCCC(C#N)CC)CCCCCCCC(C2)B34
83,67,86,75,11,12.8%,True,CCC(CCN)CCNC1CC2CCCCCCCCC3CCCCCCCCC(C2)B2C4CCC(CC4CC#N)OCCC4CCCC(C5CNCCC6CC3CN(CN5)N26)C2CCC1N42
84,104,131,112,19,14.5%,False,
85,38,45,41,4,8.9%,True,CC1=C2C=CC=C3C=CC=CC=CC=CC=C(CCCCCCCCCCCO)C2(C)C2C=C(C3=O)C2=N1
86,68,87,78,9,10.3%,True,O=[PH]1C2=CC=CC=C3OC4=CC=C3C35C6=CC=CC=CC7=C3C3=C1C=CC=CC=C(C=CC=CC=CC=CC=CC(=CC=CC(=CC1=CC=C1C=C6)S3)C5=CC1=CC(=CC=CC=C4)N17)C=CC=C2
87,32,35,31,4,11.4%,True,CCCCCC1=C(C=O)C=C(CCCCCCCCCC#N)C1=O
88,43,50,45,5,10.0%,True,C=CC(C)NCCCCCCC1CCCCC2CC3CCC(O2)B(OC1=O)C1CCCCCC(CC1)N3CCCCF
89,39,46,43,3,6.5%,True,O=CCCCC1=CC=C2C=CC3=CC4=C2C=CC=CC=CC=CC=CC=CC=C2C=C(C=CC=CC4C3)B1O2
90,79,101,90,11,10.9%,False,
91,68,80,73,7,8.8%,False,
92,64,79,70,9,11.4%,False,
93,60,79,63,16,20.3%,True,CCCCCCC1CCCC2CCCCCCCCCCCCCCCCC3CCCCC(N1)C(C)CCCC(CCC)B3C1CCCC(NCC)CCCC1N2CCO
94,49,56,48,8,14.3%,True,CCCCCCCCCCCCCC(NCNCCCCCCCCCCCCCCCN)N(CCC)C(CCCC)CCCCCCC
95,70,83,73,10,12.0%,True,CCB(F)C1CCNCC(C=CC(C)(C)C2CCCCCCC2C)C(C2CCC3CCCCCC(OC)CCCCC4CCCC(C)CC(C)NCCCC2CCCCCCCCCC3C4)CC1
96,57,74,64,10,13.5%,False,
97,52,68,55,13,19.1%,True,C=C1NCCCCNCNCCNCCCCC2CCC(CCCC)B2C2CCCCCCCCCC3CCC1CC(CC2CCCCCCN)N3
98,79,94,87,7,7.4%,False,
99,87,107,91,16,15.0%,True,CCCCCCN1C(C)CC2CCCCCNCCCC(F)CCC(C)CC(CCC(C)CCCCCCC3CCCCCCC(C4CC4)C(CC3)C2=O)N2C(CN)CCCC(CCC1CCCCC#N)C1NC2N1
100,35,42,35,7,16.7%,False,
